category,taxonomyRank,rank,yearRank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,categoryOverview,categoryLimitations,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy,sourceQueries,importanceReasons
Foundation Models and Large Language Models,126,225,52,52,2023,Qwen-VL: A Frontier Large Vision-Language Model with Versatile Abilities,"Jinze Bai, Shuai Bai, Shusheng Yang, Shijie Wang, Sinan Tan, Peng Wang, Junyang Lin, Chang Zhou, et al.",arXiv.org,,1849,292,251.027,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",metadata-ranked,foundation-models; multimodal; nlp,Positions Qwen-VL: A Frontier Large Vision-Language Model with Versatile Abilities within Foundation Models and Large Language Models.,"high citation signal (1,849); influential citation signal (292); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2308.12966,https://www.semanticscholar.org/paper/5ddb51ae85deca14dc7fc8adc07305c22a1ebe0a,https://arxiv.org/pdf/2308.12966,10.48550/arXiv.2308.12966,,,Computer Science,artificial intelligence; large language models,citations=1849; influential=292; open PDF metadata; title AI matches=1; AI term matches=1; query hits=2
Foundation Models and Large Language Models,127,226,67,67,2020,Pymoo: Multi-Objective Optimization in Python,"Julian Blank, K. Deb",IEEE Access,2020-01-22,1847,123,237.965,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",survey/review,ai4science,"Python has become the programming language of choice for research and industry projects related to data science, machine learning, and deep learning.","high citation signal (1,847); influential citation signal (123); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1109/ACCESS.2020.2990567,https://www.semanticscholar.org/paper/61e27dbae190b82639c57f180ecf97e4c46fcad9,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09078759.pdf,10.1109/ACCESS.2020.2990567,2002.04504,,Computer Science,deep learning; machine learning,citations=1847; influential=123; open PDF metadata; AI term matches=2; query hits=2
Foundation Models and Large Language Models,128,227,68,68,2020,Exploiting Cloze-Questions for Few-Shot Text Classification and Natural Language Inference,"Timo Schick, Hinrich Schütze",Conference of the European Chapter of the Association for Computational Linguistics,2020-01-21,1846,189,244.927,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",metadata-ranked,foundation-models; nlp,"Some NLP tasks can be solved in a fully unsupervised fashion by providing a pretrained language model with “task descriptions” in natural language (e.g., Radford et al., 2019).","high citation signal (1,846); influential citation signal (189); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.18653/v1/2021.eacl-main.20,https://www.semanticscholar.org/paper/8ae9a17c87a4518b513e860683a0ef7824be994d,https://aclanthology.org/2021.eacl-main.20.pdf,10.18653/v1/2021.eacl-main.20,2001.07676,,Computer Science,large language models,citations=1846; influential=189; open PDF metadata; title AI matches=1; AI term matches=3
Foundation Models and Large Language Models,129,228,53,53,2023,Is Your Code Generated by ChatGPT Really Correct? Rigorous Evaluation of Large Language Models for Code Generation,"Jiawei Liu, Chun Xia, Yuyao Wang, Lingming Zhang",Neural Information Processing Systems,2023-05-02,1841,176,253.875,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; transformer,foundation-models,Program synthesis has been long studied with recent approaches focused on directly using the power of Large Language Models (LLMs) to generate code.,"high citation signal (1,841); influential citation signal (176)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.52202/075280-0943,https://www.semanticscholar.org/paper/b45ec1cb2ba6b2d1ac24723fa836aee06a3db97a,,10.52202/075280-0943,2305.01210,,Computer Science,large language models,citations=1841; influential=176; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=2; AI term matches=3
Foundation Models and Large Language Models,130,229,54,54,2023,Voyager: An Open-Ended Embodied Agent with Large Language Models,"Guanzhi Wang, Yuqi Xie, Yunfan Jiang, A. Mandlekar, Chaowei Xiao, Yuke Zhu, Linxi (Jim) Fan, Anima Anandkumar",Trans. Mach. Learn. Res.,2023-05-25,1835,138,246.42,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; reinforcement-learning,foundation-models; reinforcement-learning,"We introduce Voyager, the first LLM-powered embodied lifelong learning agent in Minecraft that continuously explores the world, acquires diverse skills, and makes novel discoveries without human intervention.","high citation signal (1,835); influential citation signal (138); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2305.16291,https://www.semanticscholar.org/paper/f197bf0fc2f228483f6af3285000d54d8d97f9eb,http://arxiv.org/pdf/2305.16291,10.48550/arXiv.2305.16291,2305.16291,,Computer Science,large language models,citations=1835; influential=138; resource signal; open PDF metadata; title AI matches=2; AI term matches=4
Foundation Models and Large Language Models,131,230,69,69,2020,Using Artificial Intelligence to Detect COVID-19 and Community-acquired Pneumonia Based on Pulmonary CT: Evaluation of the Diagnostic Accuracy,"Lin Li, Lixin Qin, Zeguo Xu, Youbing Yin, Xin Wang, B. Kong, Junjie Bai, Yi Lu, et al.",Radiology,2020-03-19,1833,91,245.619,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset,vision,Background Coronavirus disease 2019 (COVID-19) has widely spread all over the world since the beginning of 2020.,"high citation signal (1,833); influential citation signal (91); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1148/RADIOL.2020200905,https://www.semanticscholar.org/paper/4e3c7617bd5833d9ef716bd69600754261642462,https://europepmc.org/articles/pmc7233473?pdf=render,10.1148/RADIOL.2020200905,,,Computer Science; Medicine,artificial intelligence; deep learning,citations=1833; influential=91; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=4; query hits=2
Foundation Models and Large Language Models,132,233,55,55,2023,Video-LLaMA: An Instruction-tuned Audio-Visual Language Model for Video Understanding,"Hang Zhang, Xin Li, Lidong Bing",Conference on Empirical Methods in Natural Language Processing,2023-06-05,1813,162,243.385,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",metadata-ranked,foundation-models; multimodal; nlp; vision,We present Video-LLaMA a multi-modal framework that empowers Large Language Models (LLMs) with the capability of understanding both visual and auditory content in the video.,"high citation signal (1,813); influential citation signal (162); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2306.02858,https://www.semanticscholar.org/paper/5d321194696f1f75cf9da045e6022b2f20ba5b9c,http://arxiv.org/pdf/2306.02858,10.48550/arXiv.2306.02858,2306.02858,,Computer Science; Engineering,large language models,citations=1813; influential=162; open PDF metadata; title AI matches=1; AI term matches=4
Foundation Models and Large Language Models,133,234,71,71,2020,"Towards 6G wireless communication networks: vision, enabling technologies, and new paradigm shifts","X. You, Cheng-Xiang Wang, Jie Huang, Xiqi Gao, Zaichen Zhang, Mao Wang, Yongming Huang, Chuan Zhang, et al.",Science China Information Sciences,2020-11-24,1810,68,242.313,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",survey/review,ai4science,"The fifth generation (5G) wireless communication networks are being deployed worldwide from 2020 and more capabilities are in the process of being standardized, such as mass connectivity, ultra-reliability, and guaranteed low latency.","high citation signal (1,810); influential citation signal (68); recognized venue; open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1007/s11432-020-2955-6,https://www.semanticscholar.org/paper/d5fd1dc358316904069275d3b6cbff3141e021e0,https://link.springer.com/content/pdf/10.1007/s11432-020-2955-6.pdf,10.1007/s11432-020-2955-6,,,Computer Science; Engineering,artificial intelligence,citations=1810; influential=68; recognized venue; survey/benchmark signal; open PDF metadata; AI term matches=2
Foundation Models and Large Language Models,134,235,56,56,2023,The Rise and Potential of Large Language Model Based Agents: A Survey,"Zhiheng Xi, Wenxiang Chen, Xin Guo, Wei He, Yiwen Ding, Boyang Hong, Ming Zhang, Junzhe Wang, et al.",arXiv.org,2023-09-14,1808,72,243.078,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",survey/review; reinforcement-learning,foundation-models; nlp; reinforcement-learning,"For a long time, humanity has pursued artificial intelligence (AI) equivalent to or surpassing the human level, with AI agents considered a promising vehicle for this pursuit.","high citation signal (1,808); influential citation signal (72); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2309.07864,https://www.semanticscholar.org/paper/0c72450890a54b68d63baa99376131fda8f06cf9,https://arxiv.org/pdf/2309.07864,10.48550/arXiv.2309.07864,2309.07864,,Computer Science; Linguistics,artificial intelligence; foundation models; large language models,citations=1808; influential=72; survey/benchmark signal; open PDF metadata; title AI matches=2; AI term matches=5; query hits=3
Foundation Models and Large Language Models,135,236,57,57,2023,Improving Factuality and Reasoning in Language Models through Multiagent Debate,"Yilun Du, Shuang Li, A. Torralba, J. Tenenbaum, Igor Mordatch",International Conference on Machine Learning,2023-05-23,1797,229,259.011,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",metadata-ranked,foundation-models; nlp,"Large language models (LLMs) have demonstrated remarkable capabilities in language generation, understanding, and few-shot learning in recent years.","high citation signal (1,797); influential citation signal (229); recognized venue; open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2305.14325,https://www.semanticscholar.org/paper/4780d0a027c5c5a8e01d7cf697f6296880ffc945,http://arxiv.org/pdf/2305.14325,10.48550/arXiv.2305.14325,2305.14325,,Computer Science,large language models,citations=1797; influential=229; recognized venue; open PDF metadata; title AI matches=1; AI term matches=5
Foundation Models and Large Language Models,136,237,58,58,2023,LLaVA-Med: Training a Large Language-and-Vision Assistant for Biomedicine in One Day,"Chunyuan Li, Cliff Wong, Sheng Zhang, N. Usuyama, Haotian Liu, Jianwei Yang, Tristan Naumann, Hoifung Poon, et al.",Neural Information Processing Systems,2023-06-01,1797,222,253.578,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; transformer; generative,foundation-models; generative-ai; multimodal; nlp; vision; ai4science,"Conversational generative AI has demonstrated remarkable promise for empowering biomedical practitioners, but current investigations focus on unimodal text.","high citation signal (1,797); influential citation signal (222); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2306.00890,https://www.semanticscholar.org/paper/f22d71c7ce9720ba1f717a4f1181488200e78198,http://arxiv.org/pdf/2306.00890,10.48550/arXiv.2306.00890,2306.00890,,Computer Science; Medicine,large language models; multimodal learning,citations=1797; influential=222; survey/benchmark signal; resource signal; open PDF metadata; AI term matches=2; query hits=2
Foundation Models and Large Language Models,137,239,42,42,2022,Solving Quantitative Reasoning Problems with Language Models,"Aitor Lewkowycz, Anders Andreassen, David Dohan, Ethan Dyer, H. Michalewski, V. Ramasesh, Ambrose Slone, Cem Anil, et al.",Neural Information Processing Systems,2022-06-29,1791,123,237.288,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",ai4science,foundation-models; nlp; ai4science,Language models have achieved remarkable performance on a wide range of tasks that require natural language understanding.,"high citation signal (1,791); influential citation signal (123); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2206.14858,https://www.semanticscholar.org/paper/ab0e3d3e4d42369de5933a3b4c237780b41c0d77,http://arxiv.org/pdf/2206.14858,10.48550/arXiv.2206.14858,2206.14858,,Computer Science; Mathematics,large language models,citations=1791; influential=123; open PDF metadata; title AI matches=1; AI term matches=2
Foundation Models and Large Language Models,138,240,16,16,2024,MMLU-Pro: A More Robust and Challenging Multi-Task Language Understanding Benchmark,"Yubo Wang, Xueguang Ma, Ge Zhang, Yuansheng Ni, Abhranil Chandra, Shiguang Guo, Weiming Ren, Aaran Arulraj, et al.",Neural Information Processing Systems,2024-06-03,1788,203,254.221,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; trustworthy-ai,foundation-models; trustworthy-ai,"In the age of large-scale language models, benchmarks like the Massive Multitask Language Understanding (MMLU) have been pivotal in pushing the boundaries of what AI can achieve in language comprehension and reasoning across diverse domains.","high citation signal (1,788); influential citation signal (203)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2406.01574,https://www.semanticscholar.org/paper/1406bb4cb6801bc4767b661308118c888a9b09da,,10.48550/arXiv.2406.01574,2406.01574,,Computer Science; Linguistics,large language models,citations=1788; influential=203; survey/benchmark signal; resource signal; translation/trustworthiness signal; open PDF metadata; AI term matches=3
Foundation Models and Large Language Models,139,242,43,43,2022,Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,"Denny Zhou, Nathanael Scharli, Le Hou, Jason Wei, Nathan Scales, Xuezhi Wang, Dale Schuurmans, O. Bousquet, et al.",International Conference on Learning Representations,2022-05-21,1781,92,246.137,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; transformer,foundation-models; nlp,Chain-of-thought prompting has demonstrated remarkable performance on various natural language reasoning tasks.,"high citation signal (1,781); influential citation signal (92); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2205.10625,https://www.semanticscholar.org/paper/5437e8adab596d7294124c0e798708e050e25321,http://arxiv.org/pdf/2205.10625,10.48550/arXiv.2205.10625,2205.10625,,Computer Science; Linguistics,large language models,citations=1781; influential=92; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=3; AI term matches=3
Foundation Models and Large Language Models,140,243,59,59,2023,A Prompt Pattern Catalog to Enhance Prompt Engineering with ChatGPT,"Jules White, Quchen Fu, Sam Hays, Michael Sandborn, Carlos Olea, Henry Gilbert, Ashraf Elnashar, Jesse Spencer-Smith, et al.",Proceedings of the 30th Conference on Pattern Languages of Programs,2023-02-21,1780,114,238.098,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",metadata-ranked,foundation-models,"Prompt engineering is an increasingly important skill set needed to converse effectively with large language models (LLMs), such as ChatGPT.","high citation signal (1,780); influential citation signal (114)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.64346/plop2023p05,https://www.semanticscholar.org/paper/08b85bce712168998004ee80ce4e475390413c74,,10.64346/plop2023p05,2302.11382,,Computer Science,large language models,citations=1780; influential=114; open PDF metadata; title AI matches=1; AI term matches=4
Foundation Models and Large Language Models,141,246,46,46,2021,BitFit: Simple Parameter-efficient Fine-tuning for Transformer-based Masked Language-models,"Elad Ben-Zaken, Shauli Ravfogel, Yoav Goldberg",Annual Meeting of the Association for Computational Linguistics,2021-06-18,1769,190,242.064,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; self-supervised,foundation-models; trustworthy-ai,"We introduce BitFit, a sparse-finetuning method where only the bias-terms of the model (or a subset of them) are being modified.","high citation signal (1,769); influential citation signal (190); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.18653/v1/2022.acl-short.1,https://www.semanticscholar.org/paper/339b2b711fb5b228d097b03ebc3e62a521779235,https://aclanthology.org/2022.acl-short.1.pdf,10.18653/v1/2022.acl-short.1,2106.10199,,Computer Science,large language models,citations=1769; influential=190; open PDF metadata; title AI matches=1; AI term matches=1
Foundation Models and Large Language Models,142,248,44,44,2022,CoCa: Contrastive Captioners are Image-Text Foundation Models,"Jiahui Yu, Zirui Wang, Vijay Vasudevan, Legg Yeung, Mojtaba Seyedhosseini, Yonghui Wu",Trans. Mach. Learn. Res.,2022-05-04,1755,141,245.739,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; self-supervised; generative; retrieval,foundation-models; generative-ai; multimodal; nlp; vision,Exploring large-scale pretrained foundation models is of significant interest in computer vision because these models can be quickly transferred to many downstream tasks.,"high citation signal (1,755); influential citation signal (141); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2205.01917,https://www.semanticscholar.org/paper/a26a7a74f1e5fd562be95c3611a0680759fbdf84,https://arxiv.org/pdf/2205.01917,10.48550/arXiv.2205.01917,2205.01917,,Computer Science,computer vision; foundation models; large language models; multimodal learning,citations=1755; influential=141; open PDF metadata; title AI matches=1; AI term matches=5; query hits=4
Foundation Models and Large Language Models,143,250,61,61,2023,Holistic Evaluation of Language Models,"Percy Liang, Rishi Bommasani, Tony Lee, Dimitris Tsipras, Dilara Soylu, Michihiro Yasunaga, Yian Zhang, D. Narayanan, et al.",Trans. Mach. Learn. Res.,2023-05-25,1752,138,246.402,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; transformer,foundation-models,"Language models (LMs) like GPT‐3, PaLM, and ChatGPT are the foundation for almost all major language technologies, but their capabilities, limitations, and risks are not well understood.","high citation signal (1,752); influential citation signal (138); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1111/nyas.15007,https://www.semanticscholar.org/paper/ce913026f693101e54d3ab9152e107034d81fce1,https://arxiv.org/pdf/2211.09110,10.1111/nyas.15007,,37230490,Computer Science; Linguistics; Medicine,foundation models,citations=1752; influential=138; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=2
