candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
11,2002,Introduction to Support Vector Machines,Dustin Boswell,,,2799,280,260.559,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Introduction to Support Vector Machines within General AI Methods and Systems.,"high citation signal (2,799); influential citation signal (280)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/ea2ea7c6e280c1cfb67ee38ea63a327b1ba3ca36,https://www.semanticscholar.org/paper/ea2ea7c6e280c1cfb67ee38ea63a327b1ba3ca36,,,,,18986102,Computer Science; Mathematics,,machine learning; neural networks; support vector machines,3,citations=2799; influential=280; open PDF metadata; title AI matches=1; AI term matches=1; query hits=3,
12,2002,Particle swarm optimization,"J. Kennedy, R. Eberhart",International Conference on Neural Networks,2002-08-06,2604,121,243.29,"Graph Learning, Recommendation, and Core Methods",metadata-ranked,graph-learning,"Positions Particle swarm optimization within Graph Learning, Recommendation, and Core Methods.","high citation signal (2,604); influential citation signal (121)","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.1109/ICNN.1995.488968,https://www.semanticscholar.org/paper/ba0ec80cb1774b5e42785d996ff3da0c72f705c0,,10.1109/ICNN.1995.488968,,,118262007,Computer Science; Mathematics,JournalArticle; Conference,neural networks,1,citations=2604; influential=121; open PDF metadata; AI term matches=2,
13,2002,Diffuse large B-cell lymphoma outcome prediction by gene-expression profiling and supervised machine learning,"M. Shipp, K. Ross, P. Tamayo, Andrew P. Weng, Jeffery L. Kutok, Ricardo C. T. Aguiar, M. Gaasenbeek, Michael Angelo, et al.",Nature Medicine,,2504,120,253.314,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Diffuse large B-cell lymphoma outcome prediction by gene-expression profiling and supervised machine learning within General AI Methods and Systems.,"high citation signal (2,504); influential citation signal (120); recognized venue","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1038/nm0102-68,https://www.semanticscholar.org/paper/373f58aa40b174e828d931395253905f724ce799,,10.1038/nm0102-68,,11786909,10253140,Computer Science; Medicine,JournalArticle; ClinicalTrial,machine learning,1,citations=2504; influential=120; recognized venue; open PDF metadata; title AI matches=1; AI term matches=1,
14,2002,Choosing Multiple Parameters for Support Vector Machines,"O. Chapelle, V. Vapnik, O. Bousquet, Sayan Mukherjee",Machine-mediated learning,2002-03-11,2402,151,247.593,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Choosing Multiple Parameters for Support Vector Machines within General AI Methods and Systems.,"high citation signal (2,402); influential citation signal (151); open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1023/A:1012450327387,https://www.semanticscholar.org/paper/626a5da1bfc0f4b38be27f867f95daa061655f94,https://link.springer.com/content/pdf/10.1023/A:1012450327387.pdf,10.1023/A:1012450327387,,,14607075,Computer Science; Mathematics,JournalArticle,pattern recognition; support vector machines,2,citations=2402; influential=151; open PDF metadata; title AI matches=1; AI term matches=1; query hits=2,
15,2002,Logistic regression and artificial neural network classification models: a methodology review,"S. Dreiseitl, L. Ohno-Machado",Journal of Biomedical Informatics,2002-10-01,2023,82,245.346,"AI for Science, Healthcare, and Robotics",survey/review; ai4science,machine-learning; ai4science,Logistic regression and artificial neural networks are the models of choice in many medical data classification tasks.,"high citation signal (2,023); influential citation signal (82); open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1016/S1532-0464(03)00034-0,https://www.semanticscholar.org/paper/e9acbd9cc9fcfe4f86f6414e80d30dd8cc3f8ad4,https://doi.org/10.1016/s1532-0464(03)00034-0,10.1016/S1532-0464(03)00034-0,,12968784,4583977,Computer Science; Medicine; Psychology,Review; JournalArticle; Study,machine learning; neural networks,2,citations=2023; influential=82; survey/benchmark signal; open PDF metadata; title AI matches=2; AI term matches=4; query hits=2,"Logistic regression and artificial neural networks are the models of choice in many medical data classification tasks. In this review, we summarize the differences and similarities of these models from a technical point of view, and compare them with other machine learning algorithms. We provide considerations useful for critically assessing the quality of the models and the results based on these models. Finally, we summarize our findings on how quality criteria for logistic regression and artificial neural network models are met in a sample of papers from the medical literature."
16,2002,Ensembling neural networks: Many could be better than all,"Zhi-Hua Zhou, Jianxin Wu, Wei Tang",Artificial Intelligence,2002-05-01,2006,119,253.322,Natural Language Processing and Knowledge,metadata-ranked,machine-learning; trustworthy-ai,Neural network ensemble is a learning paradigm where many neural networks are jointly used to solve a problem.,"high citation signal (2,006); influential citation signal (119); recognized venue; open-access PDF metadata","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://doi.org/10.1016/S0004-3702(02)00190-X,https://www.semanticscholar.org/paper/be4fd29e3225d8451b02683f1a32baef0483266a,https://doi.org/10.1016/s0004-3702(02)00190-x,10.1016/S0004-3702(02)00190-X,,,15455464,Computer Science,JournalArticle,neural networks,1,citations=2006; influential=119; recognized venue; open PDF metadata; title AI matches=2; AI term matches=4,"Neural network ensemble is a learning paradigm where many neural networks are jointly used to solve a problem. In this paper, the relationship between the ensemble and its component neural networks is analyzed from the context of both regression and classification, which reveals that it may be better to ensemble many instead of all of the neural networks at hand. This result is interesting because at present, most approaches ensemble all the available neural networks for prediction. Then, in order to show that the appropriate neural networks for composing an ensemble can be effectively selected from a set of available neural networks, an approach named GASEN is presented. GASEN trains a number of neural networks at first. Then it assigns random weights to those networks and employs genetic algorithm to evolve the weights so that they can characterize to some extent the fitness of the neural networks in constituting an ensemble. Finally it selects some neural networks based on the evolved weights to make up the ensemble. A large empirical study shows that, compared with some popular ensemble approaches such as Bagging and Boosting, GASEN can generate neural network ensembles with far smaller sizes but stronger generalization ability. Furthermore, in order to understand the working mechanism of GASEN, the bias-variance decomposition of the error is provided in this paper, which shows that the success of GASEN may lie in that it can significantly reduce the bias as well as the variance."
17,2002,Towards a functional classification of the freshwater phytoplankton,"C. Reynolds, V. Huszar, C. Kruk, L. Naselli-Flores, S. Melo",,2002-05-01,1943,276,249.331,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Towards a functional classification of the freshwater phytoplankton within General AI Methods and Systems.,"high citation signal (1,943); influential citation signal (276); open-access PDF metadata","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1093/PLANKT/24.5.417,https://www.semanticscholar.org/paper/500c7c39d4cec33fec965ec989e91a2ff1234206,https://doi.org/10.1093/plankt/24.5.417,10.1093/PLANKT/24.5.417,,,86722916,Biology; Environmental Science,,pattern recognition,1,citations=1943; influential=276; open PDF metadata; title AI matches=1; AI term matches=1,
18,2002,Information Visualization and Visual Data Mining,D. Keim,IEEE Transactions on Visualization and Computer Graphics,,1937,141,249.909,Vision and Multimodal Learning,metadata-ranked,machine-learning; vision,Positions Information Visualization and Visual Data Mining within Vision and Multimodal Learning.,"high citation signal (1,937); influential citation signal (141); recognized venue","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/2945.981847,https://www.semanticscholar.org/paper/75a6fe7a278ff0c60343af9ed5228b5f4cf38bed,,10.1109/2945.981847,,,62246423,Computer Science,JournalArticle,data mining,1,citations=1937; influential=141; recognized venue; open PDF metadata; title AI matches=1; AI term matches=1,
19,2002,Data Mining: Introductory and Advanced Topics,M. Dunham,,,1927,137,239.395,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Data Mining: Introductory and Advanced Topics within General AI Methods and Systems.,"high citation signal (1,927); influential citation signal (137)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/f6aa3d256c994a5950fe3262f7f18083d9b40ddd,https://www.semanticscholar.org/paper/f6aa3d256c994a5950fe3262f7f18083d9b40ddd,,,,,5375660,Computer Science; Mathematics,,data mining,1,citations=1927; influential=137; open PDF metadata; title AI matches=1; AI term matches=1,
20,2002,Neural Networks: Tricks of the Trade,"J. Hartmanis, Takeo Kanade",Lecture Notes in Computer Science,,1925,122,253.761,"AI for Science, Healthcare, and Robotics",metadata-ranked,ai4science,"Positions Neural Networks: Tricks of the Trade within AI for Science, Healthcare, and Robotics.","high citation signal (1,925); influential citation signal (122); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1007/3-540-49430-8,https://www.semanticscholar.org/paper/b1a5961609c623fc816aaa77565ba38b25531a8e,https://link.springer.com/content/pdf/bfm:978-3-642-35289-8/1?pdf=chapter%20toc,10.1007/3-540-49430-8,,,26661612,Computer Science,,deep learning; machine learning; neural networks,3,citations=1925; influential=122; recognized venue; open PDF metadata; title AI matches=2; AI term matches=2; query hits=3,
21,2002,Least Squares Support Vector Machines,"J. Suykens, T. V. Gestel, J. Brabanter, B. Moor, J. Vandewalle",,2002-11-14,1829,86,234.788,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Least Squares Support Vector Machines within General AI Methods and Systems.,"high citation signal (1,829); influential citation signal (86)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1142/9789812776655,https://www.semanticscholar.org/paper/b24972552161cd9eda729e748762a73430983e3a,,10.1142/9789812776655,,,53940663,Computer Science; Mathematics,,bayesian networks; machine learning; support vector machines,3,citations=1829; influential=86; open PDF metadata; title AI matches=1; AI term matches=1; query hits=3,
22,2002,Learning Question Classifiers,"Xin Li, Dan Roth",International Conference on Computational Linguistics,2002-08-24,1712,255,244.445,Natural Language Processing and Knowledge,metadata-ranked,machine-learning,"In order to respond correctly to a free form factual question given a large collection of texts, one needs to understand the question to a level that allows determining some of the constraints the question imposes on a possible answer.","high citation signal (1,712); influential citation signal (255)","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://doi.org/10.3115/1072228.1072378,https://www.semanticscholar.org/paper/2c8ac3e1f0edeed1fbd76813e61efdc384c319c7,,10.3115/1072228.1072378,,,11039301,Computer Science,JournalArticle; Conference,machine learning,1,citations=1712; influential=255; open PDF metadata; AI term matches=2,"In order to respond correctly to a free form factual question given a large collection of texts, one needs to understand the question to a level that allows determining some of the constraints the question imposes on a possible answer. These constraints may include a semantic classification of the sought after answer and may even suggest using different strategies when looking for and verifying a candidate answer.This paper presents a machine learning approach to question classification. We learn a hierarchical classifier that is guided by a layered semantic hierarchy of answer types, and eventually classifies questions into fine-grained classes. We show accurate results on a large collection of free-form questions used in TREC 10."
23,2002,Support Vector Machines for Multiple-Instance Learning,"Stuart Andrews, Ioannis Tsochantaridis, Thomas Hofmann",Neural Information Processing Systems,,1659,354,251.33,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Support Vector Machines for Multiple-Instance Learning within General AI Methods and Systems.,"high citation signal (1,659); influential citation signal (354)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/02e68b069d9cf13c082049429ffed18a5ca5f6d0,https://www.semanticscholar.org/paper/02e68b069d9cf13c082049429ffed18a5ca5f6d0,,,,,14177182,Computer Science; Mathematics; Medicine,JournalArticle; Conference,machine learning; support vector machines,2,citations=1659; influential=354; open PDF metadata; title AI matches=1; AI term matches=1; query hits=2,
24,2002,"Learning to classify text using support vector machines - methods, theory and algorithms",T. Joachims,The Kluwer International Series in Engineering and Computer Science,2002-04-01,1629,118,246.627,Natural Language Processing and Knowledge,metadata-ranked,machine-learning; nlp; ai4science,"Positions Learning to classify text using support vector machines - methods, theory and algorithms within Natural Language Processing and Knowledge.","high citation signal (1,629); influential citation signal (118); recognized venue","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://doi.org/10.1007/978-1-4615-0907-3,https://www.semanticscholar.org/paper/2c4986b03ab15bdad01f808a6786bee01e3800a1,,10.1007/978-1-4615-0907-3,,,60532258,Computer Science,Review,machine learning; pattern recognition; support vector machines,3,citations=1629; influential=118; recognized venue; open PDF metadata; title AI matches=1; AI term matches=1; query hits=3,
25,2002,Support Vector Clustering,"Asa Ben-Hur, D. Horn, H. Siegelmann, V. Vapnik",Journal of machine learning research,2002-03-01,1581,176,249.528,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Support Vector Clustering within General AI Methods and Systems.,"high citation signal (1,581); influential citation signal (176); recognized venue","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/65d092b319fbe0d30a808cd4b7f11f268c83279d,https://www.semanticscholar.org/paper/65d092b319fbe0d30a808cd4b7f11f268c83279d,,,,,269231,Computer Science; Mathematics,JournalArticle,support vector machines,1,citations=1581; influential=176; recognized venue; open PDF metadata; title AI matches=1; AI term matches=2,
26,2002,One-Class SVMs for Document Classification,"L. Manevitz, M. Yousef",Journal of machine learning research,2002-03-01,1550,101,241.376,General AI Methods and Systems,metadata-ranked,machine-learning,Positions One-Class SVMs for Document Classification within General AI Methods and Systems.,"high citation signal (1,550); influential citation signal (101); recognized venue","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/25c61beda55be5a1f665190384971980afef5386,https://www.semanticscholar.org/paper/25c61beda55be5a1f665190384971980afef5386,,,,,15112547,Computer Science; Mathematics,JournalArticle,neural networks,1,citations=1550; influential=101; recognized venue; open PDF metadata; title AI matches=1; AI term matches=2,
27,2002,Fuzzy support vector machines,"Chun-fu Lin, Sheng-de Wang",IEEE Trans. Neural Networks,2002-03-01,1510,162,240.364,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Fuzzy support vector machines within General AI Methods and Systems.,"high citation signal (1,510); influential citation signal (162)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1109/72.991432,https://www.semanticscholar.org/paper/ec76f55da5c6df30f6e4c9e4945bd3304d508ef7,,10.1109/72.991432,,18244447,13435674,Computer Science; Mathematics; Medicine,JournalArticle,machine learning; support vector machines,2,citations=1510; influential=162; open PDF metadata; title AI matches=1; AI term matches=3; query hits=2,
28,2002,NLTK: The Natural Language Toolkit,"E. Loper, Steven Bird",Annual Meeting of the Association for Computational Linguistics,2002-05-17,1459,24,208.36,Natural Language Processing and Knowledge,metadata-ranked,nlp,"The Natural Language Toolkit is a suite of program modules, data sets and tutorials supporting research and teaching in computational linguistics and natural language processing.","high citation signal (1,459); influential citation signal (24); open-access PDF metadata","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://doi.org/10.3115/1118108.1118117,https://www.semanticscholar.org/paper/77a02706edbdca6ad63ddf903ebd559dd7d423ac,https://dl.acm.org/doi/pdf/10.3115/1118108.1118117,10.3115/1118108.1118117,cs/0205028,,219306244,Computer Science; Linguistics,JournalArticle; Review,natural language processing,1,citations=1459; influential=24; open PDF metadata; AI term matches=2,"The Natural Language Toolkit is a suite of program modules, data sets and tutorials supporting research and teaching in computational linguistics and natural language processing. NLTK is written in Python and distributed under the GPL open source license. Over the past year the toolkit has been rewritten, simplifying many linguistic data structures and taking advantage of recent enhancements in the Python language. This paper reports on the simplified toolkit and explains how it is used in teaching NLP."
