candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
11,2013,On the importance of initialization and momentum in deep learning,"I. Sutskever, James Martens, George E. Dahl, Geoffrey E. Hinton",International Conference on Machine Learning,2013-06-16,5289,700,297.354,General AI Methods and Systems,metadata-ranked,machine-learning,Positions On the importance of initialization and momentum in deep learning within General AI Methods and Systems.,"high citation signal (5,289); influential citation signal (700); recognized venue","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/aa7bfd2304201afbb19971ebde87b17e40242e91,https://www.semanticscholar.org/paper/aa7bfd2304201afbb19971ebde87b17e40242e91,,,,,10940950,Computer Science; Mathematics,JournalArticle; Conference,deep learning; neural networks,2,citations=5289; influential=700; recognized venue; open PDF metadata; title AI matches=1; AI term matches=2; query hits=2,
12,2013,"OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks","P. Sermanet, D. Eigen, Xiang Zhang, Michaël Mathieu, R. Fergus, Yann LeCun",International Conference on Learning Representations,2013-12-21,5124,338,272.485,Vision and Multimodal Learning,metadata-ranked,machine-learning; vision,"We present an integrated framework for using Convolutional Networks for classification, localization and detection.","high citation signal (5,124); influential citation signal (338)","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://www.semanticscholar.org/paper/1109b663453e78a59e4f66446d71720ac58cec25,https://www.semanticscholar.org/paper/1109b663453e78a59e4f66446d71720ac58cec25,,,1312.6229,,4071727,Computer Science,JournalArticle,deep learning,1,citations=5124; influential=338; open PDF metadata; AI term matches=2,"We present an integrated framework for using Convolutional Networks for classification, localization and detection. We show how a multiscale and sliding window approach can be efficiently implemented within a ConvNet. We also introduce a novel deep learning approach to localization by learning to predict object boundaries. Bounding boxes are then accumulated rather than suppressed in order to increase detection confidence. We show that different tasks can be learned simultaneously using a single shared network. This integrated framework is the winner of the localization task of the ImageNet Large Scale Visual Recognition Challenge 2013 (ILSVRC2013) and obtained very competitive results for the detection and classifications tasks. In post-competition work, we establish a new state of the art for the detection task. Finally, we release a feature extractor from our best model called OverFeat."
13,2013,DeCAF: A Deep Convolutional Activation Feature for Generic Visual Recognition,"Jeff Donahue, Yangqing Jia, O. Vinyals, Judy Hoffman, Ning Zhang, E. Tzeng, Trevor Darrell",International Conference on Machine Learning,2013-10-05,5090,330,285.005,"Representation, Self-Supervised, and Transfer Learning",metadata-ranked,machine-learning; vision,"We evaluate whether features extracted from the activation of a deep convolutional network trained in a fully supervised fashion on a large, fixed set of object recognition tasks can be repurposed to novel generic tasks.","high citation signal (5,090); influential citation signal (330); recognized venue","Transfer claims depend heavily on downstream task choice, data overlap, and evaluation protocol.; Contrastive and self-supervised methods can learn spurious shortcuts when augmentations or negatives are poorly matched.; Representation quality is hard to compare when model size, data scale, and training recipes differ.",https://www.semanticscholar.org/paper/b8de958fead0d8a9619b55c7299df3257c624a96,https://www.semanticscholar.org/paper/b8de958fead0d8a9619b55c7299df3257c624a96,,,1310.1531,,6161478,Computer Science,JournalArticle; Conference,deep learning,1,citations=5090; influential=330; recognized venue; resource signal; open PDF metadata; AI term matches=2,"We evaluate whether features extracted from the activation of a deep convolutional network trained in a fully supervised fashion on a large, fixed set of object recognition tasks can be repurposed to novel generic tasks. Our generic tasks may differ significantly from the originally trained tasks and there may be insufficient labeled or unlabeled data to conventionally train or adapt a deep architecture to the new tasks. We investigate and visualize the semantic clustering of deep convolutional features with respect to a variety of such tasks, including scene recognition, domain adaptation, and fine-grained recognition challenges. We compare the efficacy of relying on various network levels to define a fixed feature, and report novel results that significantly outperform the state-of-the-art on several important vision challenges. We are releasing DeCAF, an open-source implementation of these deep convolutional activation features, along with all associated network parameters to enable vision researchers to be able to conduct experimentation with deep representations across a range of visual concept learning paradigms."
14,2013,Pseudo-Label : The Simple and Efficient Semi-Supervised Learning Method for Deep Neural Networks,Dong-Hyun Lee,,,4664,408,279.045,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Pseudo-Label : The Simple and Efficient Semi-Supervised Learning Method for Deep Neural Networks within General AI Methods and Systems.,"high citation signal (4,664); influential citation signal (408)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/798d9840d2439a0e5d47bcf5d164aa46d5e7dc26,https://www.semanticscholar.org/paper/798d9840d2439a0e5d47bcf5d164aa46d5e7dc26,,,,,18507866,Computer Science,,deep learning; neural networks,2,citations=4664; influential=408; open PDF metadata; title AI matches=2; AI term matches=2; query hits=2,
15,2013,Generating Sequences With Recurrent Neural Networks,Alex Graves,arXiv.org,2013-08-04,4309,349,273.122,Natural Language Processing and Knowledge,metadata-ranked,nlp,"This paper shows how Long Short-term Memory recurrent neural networks can be used to generate complex sequences with long-range structure, simply by predicting one data point at a time.","high citation signal (4,309); influential citation signal (349)","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://www.semanticscholar.org/paper/6471fd1cbc081fb3b7b5b14d6ab9eaaba02b5c17,https://www.semanticscholar.org/paper/6471fd1cbc081fb3b7b5b14d6ab9eaaba02b5c17,,,1308.0850,,1697424,Computer Science,JournalArticle,neural networks,1,citations=4309; influential=349; open PDF metadata; title AI matches=2; AI term matches=2,"This paper shows how Long Short-term Memory recurrent neural networks can be used to generate complex sequences with long-range structure, simply by predicting one data point at a time. The approach is demonstrated for text (where the data are discrete) and online handwriting (where the data are real-valued). It is then extended to handwriting synthesis by allowing the network to condition its predictions on a text sequence. The resulting system is able to generate highly realistic cursive handwriting in a wide variety of styles."
16,2013,Estimating or Propagating Gradients Through Stochastic Neurons for Conditional Computation,"Yoshua Bengio, Nicholas Léonard, Aaron C. Courville",arXiv.org,2013-08-15,3975,363,270.897,Natural Language Processing and Knowledge,metadata-ranked,machine-learning,"Stochastic neurons and hard non-linearities can be useful for a number of reasons in deep learning models, but in many cases they pose a challenging problem: how to estimate the gradient of a loss function with respect to the input of such stochastic or non-smooth neurons?","high citation signal (3,975); influential citation signal (363)","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://www.semanticscholar.org/paper/62c76ca0b2790c34e85ba1cce09d47be317c7235,https://www.semanticscholar.org/paper/62c76ca0b2790c34e85ba1cce09d47be317c7235,,,1308.3432,,18406556,Computer Science; Mathematics,JournalArticle,deep learning; graph neural networks; neural networks,3,citations=3975; influential=363; open PDF metadata; AI term matches=2; query hits=3,"Stochastic neurons and hard non-linearities can be useful for a number of reasons in deep learning models, but in many cases they pose a challenging problem: how to estimate the gradient of a loss function with respect to the input of such stochastic or non-smooth neurons? I.e., can we ""back-propagate"" through these stochastic neurons? We examine this question, existing approaches, and compare four families of solutions, applicable in different settings. One of them is the minimum variance unbiased gradient estimator for stochatic binary neurons (a special case of the REINFORCE algorithm). A second approach, introduced here, decomposes the operation of a binary stochastic neuron into a stochastic binary part and a smooth differentiable part, which approximates the expected effect of the pure stochatic binary neuron to first order. A third approach involves the injection of additive or multiplicative noise in a computational graph that is otherwise differentiable. A fourth approach heuristically copies the gradient with respect to the stochastic output directly as an estimator of the gradient with respect to the sigmoid argument (we call this the straight-through estimator). To explore a context where these estimators are useful, we consider a small-scale version of {\em conditional computation}, where sparse stochastic units form a distributed representation of gaters that can turn off in combinatorially many ways large chunks of the computation performed in the rest of the neural network. In this case, it is important that the gating units produce an actual 0 most of the time. The resulting sparsity can be potentially be exploited to greatly reduce the computational cost of large deep networks for which conditional computation would be useful."
17,2013,Online Object Tracking: A Benchmark,"Yi Wu, Jongwoo Lim, Ming-Hsuan Yang",2013 IEEE Conference on Computer Vision and Pattern Recognition,2013-06-23,3971,943,299.216,Vision and Multimodal Learning,benchmark/dataset,machine-learning; vision,Positions Online Object Tracking: A Benchmark within Vision and Multimodal Learning.,"high citation signal (3,971); influential citation signal (943); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR.2013.312,https://www.semanticscholar.org/paper/bfba194dfd9c7c27683082aa8331adc4c5963a0d,http://faculty.ucmerced.edu/mhyang/papers/cvpr13_benchmark.pdf,10.1109/CVPR.2013.312,,,1660289,Computer Science,JournalArticle; Conference; Review,computer vision,1,citations=3971; influential=943; recognized venue; survey/benchmark signal; resource signal; open PDF metadata; AI term matches=2,
18,2013,Reinforcement learning in robotics: A survey,"Jens Kober, J. Bagnell, Jan Peters",Int. J. Robotics Res.,2013-08-23,3765,89,253.14,Reinforcement Learning and Agents,survey/review; ai4science; reinforcement-learning,reinforcement-learning; ai4science,Reinforcement learning offers to robotics a framework and set of tools for the design of sophisticated and hard-to-engineer behaviors.,"high citation signal (3,765); influential citation signal (89); open-access PDF metadata","Sample efficiency, reward misspecification, simulator bias, and safety under exploration remain persistent barriers.; Benchmark performance may not transfer to physical robots, human-facing tools, or open-ended environments.; Agentic systems need stronger evidence on reliability, recovery from errors, and long-horizon oversight.",https://doi.org/10.1177/0278364913495721,https://www.semanticscholar.org/paper/65438e0ba226c1f97bd8a36333ebc3297b1a32fd,https://figshare.com/articles/journal_contribution/Reinforcement_Learning_in_Robotics_A_Survey/6560648/1/files/12042932.pdf,10.1177/0278364913495721,,,1932843,Computer Science; Engineering,JournalArticle; Review,reinforcement learning,1,citations=3765; influential=89; survey/benchmark signal; open PDF metadata; title AI matches=1; AI term matches=1,"Reinforcement learning offers to robotics a framework and set of tools for the design of sophisticated and hard-to-engineer behaviors. Conversely, the challenges of robotic problems provide both inspiration, impact, and validation for developments in reinforcement learning. The relationship between disciplines has sufficient promise to be likened to that between physics and mathematics. In this article, we attempt to strengthen the links between the two research communities by providing a survey of work in reinforcement learning for behavior generation in robots. We highlight both key challenges in robot reinforcement learning as well as notable successes. We discuss how contributions tamed the complexity of the domain and study the role of algorithms, representations, and prior knowledge in achieving these successes. As a result, a particular focus of our paper lies on the choice between model-based and model-free as well as between value-function-based and policy-search methods. By analyzing a simple problem in some detail we demonstrate how reinforcement learning approaches may be profitably applied, and we note throughout open questions and the tremendous potential for future research."
19,2013,Describing Textures in the Wild,"Mircea Cimpoi, Subhransu Maji, Iasonas Kokkinos, S. Mohamed, A. Vedaldi",2014 IEEE Conference on Computer Vision and Pattern Recognition,2013-11-14,3604,430,286.107,Vision and Multimodal Learning,benchmark/dataset,machine-learning; vision,"Patterns and textures are key characteristics of many natural objects: a shirt can be striped, the wings of a butterfly can be veined, and the skin of an animal can be scaly.","high citation signal (3,604); influential citation signal (430); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR.2014.461,https://www.semanticscholar.org/paper/18c125ce0f64e85577f7d30132cf0e92ec664bf4,http://arxiv.org/pdf/1311.3618,10.1109/CVPR.2014.461,1311.3618,,4309276,Computer Science; Environmental Science,JournalArticle; Conference,pattern recognition,1,citations=3604; influential=430; recognized venue; survey/benchmark signal; resource signal; open PDF metadata; AI term matches=2,"Patterns and textures are key characteristics of many natural objects: a shirt can be striped, the wings of a butterfly can be veined, and the skin of an animal can be scaly. Aiming at supporting this dimension in image understanding, we address the problem of describing textures with semantic attributes. We identify a vocabulary of forty-seven texture terms and use them to describe a large dataset of patterns collected ""in the wild"". The resulting Describable Textures Dataset (DTD) is a basis to seek the best representation for recognizing describable texture attributes in images. We port from object recognition to texture recognition the Improved Fisher Vector (IFV) and Deep Convolutional-network Activation Features (DeCAF), and show that surprisingly, they both outperform specialized texture descriptors not only on our problem, but also in established material recognition datasets. We also show that our describable attributes are excellent texture descriptors, transferring between datasets and tasks, in particular, combined with IFV and DeCAF, they significantly outperform the state-of-the-art by more than 10% on both FMD and KTH-TIPS-2b benchmarks. We also demonstrate that they produce intuitive descriptions of materials and Internet images."
20,2013,DeepPose: Human Pose Estimation via Deep Neural Networks,"Alexander Toshev, Christian Szegedy",2014 IEEE Conference on Computer Vision and Pattern Recognition,2013-12-16,3072,165,267.237,Vision and Multimodal Learning,metadata-ranked,machine-learning; vision,We propose a method for human pose estimation based on Deep Neural Networks (DNNs).,"high citation signal (3,072); influential citation signal (165); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR.2014.214,https://www.semanticscholar.org/paper/2a002ce457f7ab3088fbd2691734f1ce79f750c4,http://arxiv.org/pdf/1312.4659,10.1109/CVPR.2014.214,1312.4659,,206592152,Computer Science,JournalArticle; Conference,neural networks,1,citations=3072; influential=165; recognized venue; open PDF metadata; title AI matches=2; AI term matches=4,We propose a method for human pose estimation based on Deep Neural Networks (DNNs). The pose estimation is formulated as a DNN-based regression problem towards body joints. We present a cascade of such DNN regres- sors which results in high precision pose estimates. The approach has the advantage of reasoning about pose in a holistic fashion and has a simple but yet powerful formula- tion which capitalizes on recent advances in Deep Learn- ing. We present a detailed empirical analysis with state-of- art or better performance on four academic benchmarks of diverse real-world images.
