category,taxonomyRank,rank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,categoryOverview,categoryLimitations,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy,sourceQueries,importanceReasons
Foundation Models and Large Language Models,18,30,7,2021,On the Dangers of Stochastic Parrots: Can Language Models Be Too Big? 🦜,"Emily M. Bender, Timnit Gebru, Angelina McMillan-Major, Shmargaret Shmitchell","Conference on Fairness, Accountability and Transparency",2021-03-03,7559,304,286.558,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; trustworthy-ai,foundation-models; nlp; trustworthy-ai,"The past 3 years of work in NLP have been characterized by the development and deployment of ever larger language models, especially for English.","high citation signal (7,559); influential citation signal (304); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1145/3442188.3445922,https://www.semanticscholar.org/paper/ca2f1088d3e581b2c6c75cf0ebc96506d620f64d,https://dl.acm.org/doi/pdf/10.1145/3442188.3445922,10.1145/3442188.3445922,,,Computer Science; Linguistics,large language models,citations=7559; influential=304; translation/trustworthiness signal; open PDF metadata; title AI matches=1; AI term matches=4
Foundation Models and Large Language Models,19,32,8,2022,Large Language Models are Zero-Shot Reasoners,"Takeshi Kojima, S. Gu, Machel Reid, Yutaka Matsuo, Yusuke Iwasawa",Neural Information Processing Systems,2022-05-24,7339,484,307.402,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset,foundation-models; nlp,Pretrained large language models (LLMs) are widely used in many sub-fields of natural language processing (NLP) and generally known as excellent few-shot learners with task-specific exemplars.,"high citation signal (7,339); influential citation signal (484)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.52202/068431-1613,https://www.semanticscholar.org/paper/e7ad08848d5d7c5c47673ffe0da06af443643bda,,10.52202/068431-1613,2205.11916,,Computer Science,large language models; natural language processing,citations=7339; influential=484; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=3; AI term matches=8; query hits=2
Foundation Models and Large Language Models,20,34,9,2022,Self-Consistency Improves Chain of Thought Reasoning in Language Models,"Xuezhi Wang, Jason Wei, Dale Schuurmans, Quoc Le, Ed H. Chi, Denny Zhou",International Conference on Learning Representations,2022-03-21,6949,919,296.164,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",metadata-ranked,foundation-models,Chain-of-thought prompting combined with pre-trained large language models has achieved encouraging results on complex reasoning tasks.,"high citation signal (6,949); influential citation signal (919)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/5f19ae1135a9500940978104ec15a5b8751bc7d2,https://www.semanticscholar.org/paper/5f19ae1135a9500940978104ec15a5b8751bc7d2,,,2203.11171,,Computer Science,large language models,citations=6949; influential=919; open PDF metadata; title AI matches=1; AI term matches=3
Foundation Models and Large Language Models,21,35,9,2021,On the Opportunities and Risks of Foundation Models,"Rishi Bommasani, Drew A. Hudson, Ehsan Adeli, R. Altman, Simran Arora, Sydney von Arx, Michael S. Bernstein, Jeannette Bohg, et al.",arXiv.org,2021-08-16,6677,298,284.551,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; ai4science,foundation-models; ai4science,"AI is undergoing a paradigm shift with the rise of models (e.g., BERT, DALL-E, GPT-3) that are trained on broad data at scale and are adaptable to a wide range of downstream tasks.","high citation signal (6,677); influential citation signal (298)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/76e9e2ec3de437ffb30d8b7b629f7fe3e61de5c2,https://www.semanticscholar.org/paper/76e9e2ec3de437ffb30d8b7b629f7fe3e61de5c2,,,2108.07258,,Computer Science; Philosophy,deep learning; foundation models,citations=6677; influential=298; translation/trustworthiness signal; open PDF metadata; title AI matches=1; AI term matches=3; query hits=2
Foundation Models and Large Language Models,22,37,10,2023,Efficient Memory Management for Large Language Model Serving with PagedAttention,"Woosuk Kwon, Zhuohan Li, Siyuan Zhuang, Ying Sheng, Lianmin Zheng, C. Yu, Joseph E. Gonzalez, Haotong Zhang, et al.",Symposium on Operating Systems Principles,2023-09-12,6557,919,299.887,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer,foundation-models; nlp,High throughput serving of large language models (LLMs) requires batching sufficiently many requests at a time.,"high citation signal (6,557); influential citation signal (919); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1145/3600006.3613165,https://www.semanticscholar.org/paper/83b90f4a0ae4cc214eb3cc140ccfef9cd99fac05,https://dl.acm.org/doi/pdf/10.1145/3600006.3613165,10.1145/3600006.3613165,2309.06180,,Computer Science,large language models,citations=6557; influential=919; resource signal; open PDF metadata; title AI matches=2; AI term matches=3
Foundation Models and Large Language Models,23,38,10,2022,Flamingo: a Visual Language Model for Few-Shot Learning,"Jean-Baptiste Alayrac, Jeff Donahue, Pauline Luc, Antoine Miech, Iain Barr, Yana Hasson, Karel Lenc, Arthur Mensch, et al.",Neural Information Processing Systems,2022-04-29,6019,404,287.517,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",metadata-ranked,foundation-models; multimodal; nlp; vision,Building models that can be rapidly adapted to novel tasks using only a handful of annotated examples is an open challenge for multimodal machine learning research.,"high citation signal (6,019); influential citation signal (404)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.52202/068431-1723,https://www.semanticscholar.org/paper/26218bdcc3945c7edae7aa2adbfba4cd820a2df3,,10.52202/068431-1723,2204.14198,,Computer Science,large language models; machine learning; multimodal learning,citations=6019; influential=404; open PDF metadata; title AI matches=2; AI term matches=4; query hits=3
Foundation Models and Large Language Models,24,39,11,2021,Prefix-Tuning: Optimizing Continuous Prompts for Generation,"Xiang Lisa Li, Percy Liang",Annual Meeting of the Association for Computational Linguistics,,5959,473,282.499,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer,foundation-models; nlp,Fine-tuning is the de facto way of leveraging large pretrained language models for downstream tasks.,"high citation signal (5,959); influential citation signal (473); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.18653/v1/2021.acl-long.353,https://www.semanticscholar.org/paper/53d8b356551a2361020a948f64454a6d599af69f,https://aclanthology.org/2021.acl-long.353.pdf,10.18653/v1/2021.acl-long.353,2101.00190,,Computer Science,large language models,citations=5959; influential=473; open PDF metadata; title AI matches=1; AI term matches=2
Foundation Models and Large Language Models,25,40,1,2025,Qwen3 Technical Report,"An Yang, Anfeng Li, Baosong Yang, Beichen Zhang, Binyuan Hui, Bo Zheng, Bowen Yu, Chang Gao, et al.",,2025-05-14,5958,850,291.688,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; reinforcement-learning,foundation-models; reinforcement-learning,"In this work, we present Qwen3, the latest version of the Qwen model family.","high citation signal (5,958); influential citation signal (850)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/d2d84d56f730f81d276a02b48d5d44db5bde0b4a,https://www.semanticscholar.org/paper/d2d84d56f730f81d276a02b48d5d44db5bde0b4a,,,2505.09388,,Computer Science; Linguistics,large language models,citations=5958; influential=850; resource signal; open PDF metadata; AI term matches=2
Foundation Models and Large Language Models,26,41,12,2021,The Power of Scale for Parameter-Efficient Prompt Tuning,"Brian Lester, Rami Al-Rfou, Noah Constant",Conference on Empirical Methods in Natural Language Processing,2021-04-18,5670,489,287.87,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer,foundation-models; nlp,"In this work, we explore “prompt tuning,” a simple yet effective mechanism for learning “soft prompts” to condition frozen language models to perform specific downstream tasks.","high citation signal (5,670); influential citation signal (489); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.18653/v1/2021.emnlp-main.243,https://www.semanticscholar.org/paper/ffdbd7f0b03b85747b001b4734d5ee31b5229aa4,https://aclanthology.org/2021.emnlp-main.243.pdf,10.18653/v1/2021.emnlp-main.243,2104.08691,,Computer Science,large language models,citations=5670; influential=489; resource signal; open PDF metadata; title AI matches=1; AI term matches=5
Foundation Models and Large Language Models,27,42,11,2023,ChatGPT for good? On opportunities and challenges of large language models for education,"Enkelejda Kasneci, Kathrin Seßler, S. Küchemann, M. Bannert, Daryna Dementieva, F. Fischer, Urs Gasser, G. Groh, et al.",Learning and Individual Differences,2023-04-01,5646,340,280.702,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",metadata-ranked,foundation-models; trustworthy-ai,Large language models represent a significant advancement in the field of AI.,"high citation signal (5,646); influential citation signal (340); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1016/j.lindif.2023.102274,https://www.semanticscholar.org/paper/a98862ffe4c18634a67a3df8a965a35e5e0d7ec8,https://doi.org/10.1016/j.lindif.2023.102274,10.1016/j.lindif.2023.102274,,,Computer Science; Education; Linguistics,large language models,citations=5646; influential=340; open PDF metadata; title AI matches=2; AI term matches=4
Foundation Models and Large Language Models,28,43,13,2021,Measuring Mathematical Problem Solving With the MATH Dataset,"Dan Hendrycks, Collin Burns, Saurav Kadavath, Akul Arora, Steven Basart, Eric Tang, D. Song, J. Steinhardt",NeurIPS Datasets and Benchmarks,2021-03-05,5636,1281,311.203,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; transformer,nlp,"Many intellectual endeavors require mathematical problem solving, but this skill remains beyond the capabilities of computers.","high citation signal (5,636); influential citation signal (1,281); recognized venue","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/57d1e7ac339e783898f2c3b1af55737cbeee9fc5,https://www.semanticscholar.org/paper/57d1e7ac339e783898f2c3b1af55737cbeee9fc5,,,2103.03874,,Computer Science; Mathematics,machine learning,citations=5636; influential=1281; recognized venue; survey/benchmark signal; resource signal; open PDF metadata; AI term matches=2
Foundation Models and Large Language Models,29,44,14,2021,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing","Pengfei Liu, Weizhe Yuan, Jinlan Fu, Zhengbao Jiang, Hiroaki Hayashi, Graham Neubig",ACM Computing Surveys,2021-07-28,5477,310,284.744,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",survey/review; self-supervised,foundation-models; nlp,"n natural language processing, which we dub “prompt-based learning.” Unlike traditional supervised learning, which trains a model to take in an input x and predict an output y as P(y|x), prompt-based learning is based on language models that model the probability of text directly.","high citation signal (5,477); influential citation signal (310); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1145/3560815,https://www.semanticscholar.org/paper/28692beece311a90f5fa1ca2ec9d0c2ce293d069,https://dl.acm.org/doi/pdf/10.1145/3560815,10.1145/3560815,2107.13586,,Computer Science,natural language processing,citations=5477; influential=310; survey/benchmark signal; open PDF metadata; title AI matches=2; AI term matches=5
Foundation Models and Large Language Models,30,45,2,2025,DeepSeek-R1 incentivizes reasoning in LLMs through reinforcement learning,"DeepSeek-AI, Daya Guo, Dejian Yang, Haowei Zhang, Jun-Mei Song, Ruoyu Zhang, R. Xu, Qihao Zhu, et al.",Nature,2025-01-22,5330,918,307.314,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",reinforcement-learning,foundation-models; reinforcement-learning,General reasoning represents a long-standing and formidable challenge in artificial intelligence (AI).,"high citation signal (5,330); influential citation signal (918); recognized venue","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1038/s41586-025-09422-z,https://www.semanticscholar.org/paper/2eed1fad9bbf887d4395de40f20144c4fafefd7f,,10.1038/s41586-025-09422-z,2501.12948,40962978,Computer Science; Medicine,artificial intelligence; foundation models; large language models; reinforcement learning,citations=5330; influential=918; recognized venue; open PDF metadata; title AI matches=1; AI term matches=6; query hits=4
Foundation Models and Large Language Models,31,46,12,2023,Improved Baselines with Visual Instruction Tuning,"Haotian Liu, Chunyuan Li, Yuheng Li, Yong Jae Lee",Computer Vision and Pattern Recognition,2023-10-05,5305,901,299.95,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer,multimodal; vision,Large multimodal models (LMM) have recently shown encouraging progress with visual instruction tuning.,"high citation signal (5,305); influential citation signal (901); recognized venue; open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1109/CVPR52733.2024.02484,https://www.semanticscholar.org/paper/124d4d374fbef2016fa9880489871a58a7450644,https://arxiv.org/pdf/2310.03744,10.1109/CVPR52733.2024.02484,2310.03744,,Computer Science,large language models,citations=5305; influential=901; recognized venue; resource signal; open PDF metadata; AI term matches=2
Foundation Models and Large Language Models,32,50,16,2021,Finetuned Language Models Are Zero-Shot Learners,"Jason Wei, Maarten Bosma, Vincent Y. Zhao, Kelvin Guu, Adams Wei Yu, Brian Lester, Nan Du, Andrew M. Dai, et al.",International Conference on Learning Representations,2021-09-03,5129,460,282.811,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer,foundation-models; nlp,This paper explores a simple method for improving the zero-shot learning abilities of language models.,"high citation signal (5,129); influential citation signal (460)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/ff0b2681d7b05e16c46dfb71d980cc2f605907cd,https://www.semanticscholar.org/paper/ff0b2681d7b05e16c46dfb71d980cc2f605907cd,,,2109.01652,,Computer Science,large language models,citations=5129; influential=460; open PDF metadata; title AI matches=2; AI term matches=4
Foundation Models and Large Language Models,33,52,3,2025,Qwen2.5-VL Technical Report,"Shuai Bai, Ke-qin Chen, Xuejing Liu, Jialin Wang, Wenbin Ge, Sibo Song, K. Dang, Peng Wang, et al.",arXiv.org,2025-02-19,4952,1218,295.651,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",transformer; trustworthy-ai; reinforcement-learning,foundation-models; multimodal; vision; reinforcement-learning; trustworthy-ai,"We introduce Qwen2.5-VL, the latest flagship model of Qwen vision-language series, which demonstrates significant advancements in both foundational capabilities and innovative functionalities.","high citation signal (4,952); influential citation signal (1,218)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.48550/arXiv.2502.13923,https://www.semanticscholar.org/paper/f61cc9b5583c6295d5cd756ec0f34e4c003aab29,,10.48550/arXiv.2502.13923,2502.13923,,Computer Science,computer vision; foundation models,citations=4952; influential=1218; translation/trustworthiness signal; open PDF metadata; AI term matches=3; query hits=2
Foundation Models and Large Language Models,34,54,12,2022,Survey of Hallucination in Natural Language Generation,"Ziwei Ji, Nayeon Lee, Rita Frieske, Tiezheng Yu, D. Su, Yan Xu, Etsuko Ishii, Yejin Bang, et al.",ACM Computing Surveys,2022-02-08,4843,178,270.304,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",survey/review; transformer; generative,generative-ai; nlp,Natural Language Generation (NLG) has improved exponentially in recent years thanks to the development of sequence-to-sequence deep learning technologies such as Transformer-based language models.,"high citation signal (4,843); influential citation signal (178); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1145/3571730,https://www.semanticscholar.org/paper/3def68bd0f856886d34272840a7f81588f2bc082,https://arxiv.org/pdf/2202.03629,10.1145/3571730,2202.03629,,Computer Science; Linguistics,deep learning; machine learning,citations=4843; influential=178; survey/benchmark signal; open PDF metadata; AI term matches=3; query hits=2
Foundation Models and Large Language Models,35,55,13,2022,Evolutionary-scale prediction of atomic level protein structure with a language model,"Zeming Lin, Halil Akin, Roshan Rao, Brian L. Hie, Zhongkai Zhu, Wenting Lu, Nikita Smetanin, Robert Verkuil, et al.",bioRxiv,2022-12-21,4797,628,284.689,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",ai4science,foundation-models; nlp; ai4science,Artificial intelligence has the potential to open insight into the structure of proteins at the scale of evolution.,"high citation signal (4,797); influential citation signal (628); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1126/science.ade2574,https://www.semanticscholar.org/paper/c49a0912595a1cc70aab63524f64ed08c92194a8,https://doi.org/10.1126/science.ade2574,10.1126/science.ade2574,,36927031,Biology; Computer Science; Medicine,artificial intelligence; large language models,citations=4797; influential=628; open PDF metadata; title AI matches=1; AI term matches=3; query hits=2
